date,season,min_temp,max_temp,average temperature
2022-11-25,12,-72,-44,-58
2022-11-24,12,-72,-9,-40.5
2022-11-23,12,-73,-8,-40.5
2022-11-22,12,-72,-10,-41
2022-11-21,12,-72,-12,-42
2022-11-20,12,-71,-16,-43.5
2022-11-19,12,-71,-6,-38.5
2022-11-18,12,-70,-8,-39
2022-11-17,12,-70,-7,-38.5
2022-11-16,12,-70,-8,-39
2022-11-15,12,-70,-7,-38.5
2022-11-14,12,-70,-10,-40
2022-11-13,12,-70,-8,-39
2022-11-12,12,-70,-15,-42.5
2022-11-11,12,-69,-14,-41.5
2022-11-10,12,-72,-7,-39.5
2022-11-09,12,-72,-8,-40
2022-11-08,12,-70,-11,-40.5
2022-11-07,12,-72,-9,-40.5
2022-11-06,12,-70,-12,-41
2022-11-04,12,-69,-17,-43
2022-11-03,12,-68,-18,-43
2022-11-02,12,-70,-17,-43.5
2022-11-01,12,-70,-14,-42
2022-10-31,12,-69,-9,-39
2022-10-30,11,-69,-7,-38
2022-10-29,11,-68,-7,-37.5
2022-10-28,11,-68,-11,-39.5
2022-10-26,11,-69,-8,-38.5
2022-10-25,11,-69,-12,-40.5
2022-10-24,11,-67,-10,-38.5
2022-10-23,11,-69,-8,-38.5
2022-10-22,11,-69,-5,-37
2022-10-21,11,-68,-6,-37
2022-10-20,11,-70,-12,-41
2022-10-19,11,-67,-9,-38
2022-10-18,11,-67,-12,-39.5
2022-10-17,11,-67,-11,-39
2022-10-16,11,-67,-12,-39.5
2022-10-15,11,-67,-12,-39.5
2022-10-14,11,-66,-12,-39
2022-10-13,11,-68,-10,-39
2022-10-12,11,-65,-12,-38.5
2022-10-11,11,-66,-9,-37.5
2022-10-10,11,-66,-10,-38
2022-10-09,11,-70,-10,-40
2022-10-08,11,-67,-10,-38.5
2022-10-07,11,-69,-12,-40.5
2022-10-06,11,-67,-14,-40.5
2022-10-05,11,-66,-9,-37.5
2022-10-04,11,-69,-11,-40
2022-10-03,11,-69,-15,-42
2022-10-02,11,-66,-14,-40
2022-10-01,11,-67,-9,-38
2022-09-30,11,-67,-11,-39
2022-09-29,11,-68,-7,-37.5
2022-09-28,11,-68,-7,-37.5
2022-09-27,11,-69,-6,-37.5
2022-09-26,11,-69,-3,-36
2022-09-25,11,-70,-7,-38.5
2022-09-24,11,-71,-6,-38.5
2022-09-23,11,-70,-5,-37.5
2022-09-22,11,-70,-4,-37
2022-09-21,11,-69,-8,-38.5
2022-09-20,11,-68,-4,-36
2022-09-18,11,-70,-6,-38
2022-09-17,11,-69,-3,-36
2022-09-16,11,-69,-1,-35
2022-09-15,11,-71,0,-35.5
2022-09-14,11,-69,-5,-37
2022-09-13,11,-69,-6,-37.5
2022-09-12,11,-69,-7,-38
2022-09-11,11,-69,-8,-38.5
2022-09-10,11,-57,-6,-31.5
2022-09-04,10,-70,-7,-38.5
2022-09-03,10,-69,-9,-39
2022-09-02,10,-73,-7,-40
2022-09-01,10,-69,-10,-39.5
2022-08-31,10,-71,-2,-36.5
2022-08-30,10,-69,0,-34.5
2022-08-29,10,-69,2,-33.5
2022-08-26,10,-69,0,-34.5
2022-08-25,10,-68,-4,-36
2022-08-24,10,-69,-3,-36
2022-08-23,10,-70,2,-34
2022-08-22,10,-69,-1,-35
2022-08-21,10,-68,1,-33.5
2022-08-20,10,-71,-4,-37.5
2022-08-19,10,-68,-2,-35
2022-08-18,10,-69,-15,-42
2022-08-17,10,-69,2,-33.5
2022-08-16,10,-70,-7,-38.5
2022-08-15,10,-69,-6,-37.5
2022-08-14,10,-70,-3,-36.5
2022-08-12,10,-69,1,-34
2022-08-11,10,-67,-3,-35
2022-08-10,10,-70,0,-35
2022-08-09,10,-68,-2,-35
2022-08-08,10,-72,-7,-39.5
2022-08-07,10,-68,-7,-37.5
2022-08-06,10,-68,-3,-35.5
2022-08-05,10,-67,0,-33.5
2022-08-04,10,-69,-4,-36.5
2022-08-03,10,-69,-2,-35.5
2022-08-02,10,-68,-2,-35
2022-08-01,10,-67,-2,-34.5
2022-07-31,10,-68,1,-33.5
2022-07-30,10,-68,-2,-35
2022-07-29,10,-69,1,-34
2022-07-28,10,-70,-1,-35.5
2022-07-27,10,-69,-1,-35
2022-07-26,10,-69,-4,-36.5
2022-07-25,10,-69,0,-34.5
2022-07-24,10,-68,1,-33.5
2022-07-23,10,-69,-2,-35.5
2022-07-22,10,-69,-2,-35.5
2022-07-21,9,-68,-1,-34.5
2022-07-20,9,-69,-3,-36
2022-07-19,9,-68,-1,-34.5
2022-07-18,9,-68,-4,-36
2022-07-17,9,-68,0,-34
2022-07-16,9,-68,1,-33.5
2022-07-15,9,-68,-3,-35.5
2022-07-14,9,-68,-1,-34.5
2022-07-13,9,-67,0,-33.5
2022-07-12,9,-68,-2,-35
2022-07-11,9,-69,-9,-39
2022-07-10,9,-68,-11,-39.5
2022-07-09,9,-70,-9,-39.5
2022-07-08,9,-68,-14,-41
2022-07-06,9,-70,-10,-40
2022-07-05,9,-68,-9,-38.5
2022-07-04,9,-67,-10,-38.5
2022-07-03,9,-67,-10,-38.5
2022-07-02,9,-69,-14,-41.5
2022-07-01,9,-72,-11,-41.5
2022-06-30,9,-68,-15,-41.5
2022-06-29,9,-67,-12,-39.5
2022-06-28,9,-70,-12,-41
2022-06-27,9,-66,-8,-37
2022-06-26,9,-66,-10,-38
2022-06-25,9,-66,-10,-38
2022-06-24,9,-68,-10,-39
2022-06-23,9,-67,-7,-37
2022-06-22,9,-65,-6,-35.5
2022-06-21,9,-67,-12,-39.5
2022-06-20,9,-67,-12,-39.5
2022-06-19,9,-67,-2,-34.5
2022-06-18,9,-66,-2,-34
2022-06-17,9,-68,0,-34
2022-06-16,9,-66,-2,-34
2022-06-15,9,-74,1,-36.5
